1 - GARBE;;;;;;;;;;;;;;;;;
IMMOBILIE LISTE;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Stichtag;;;04.05.2026;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Mand;Port;Immo;Bezeichnung;Vehikel;Strasse;Hausnummer;PLZ;Ort;Land;Währung *;Fläche *;Zeitbezug *;Finanzierungsmodell *;gültig von;gültig bis;Nummer Mandant Extern;Zusätzliche Kostenstellen?
1;;5025;HH-Rahlstedt, Victoria-Park;GIG;Victoriaring;23;22143;Hamburg;Deutschland;€;m²;Monat;mit Stufen;24.09.2024;;;
1;1015982132;109;Nettetal;MATTERHORN;Montel Allee;3;41334;Nettetal;Deutschland;€;m²;Monat;;01.05.2020;;14.00;
1;1019744920;4010;Senec;UIIGARBEGENO;Dial'nicná cesta;5641;903 01;Senec;Slowakei;€;m²;Monat;;01.09.2021;;19.00;
1;1022304485;104;Osnabrück;MATTERHORN;Am Tie;7-13;49086;Osnabrück;Deutschland;€;m²;Monat;;01.01.2020;;14.00;
1;104185645;4089;Veghel;UIIGARBENONGENO;Kempkens;3000-3100;5465 PR;Veghel;Niederlande;€;m²;Monat;;14.09.2022;;;
1;107837967;6003;Harsum;BrookfieldJV;Von-Ketteler-Str;18;31177;Harsum;Deutschland;€;m²;Monat;;01.07.2024;;;
1;1127598132;211;Niestetal;DEVFUND;Zum Solarwerk;5;34266;Niestetal;Deutschland;€;m²;Monat;;01.10.2024;;;
1;113653937;432;Veghel, Huygensweg 10;GIANT;Huygensweg;10;5466;AN Veghel;Niederlande;€;m²;Monat;;01.12.2016;;15.00;
1;113653937;461;GIANT Veghel, Huygensweg 10 (Fase 1);GIANT;Huygensweg;10;5466 AN;Veghel;Niederlande;€;m²;Monat;mit Stufen;15.04.2026;;15.00;
1;1149789616;3007;Aalsmeer, Ecuadorlaan;HPV;Equadorlaan;21-27;1432 DH;Aalsmeer;Niederlande;€;m²;Monat;;01.04.2023;;17.00;
1;1152974762;439;Krautheim;GIANT;Altkrautheimer Str;28;74238;Krautheim;Deutschland;€;m²;Monat;;01.10.2020;;15.00;
1;1169612076;103;Moosburg I;MATTERHORN;Degernpoint H;1;85368;Moosburg;Deutschland;€;m²;Monat;;01.01.2020;;14.00;
1;1184934030;121;Kiel BVO;MATTERHORN;Dr Hell-Straße;6;24107;Kiel;Deutschland;€;m²;Monat;;01.01.2020;;;
1;1220118688;1062;Pilsting I Halle B;GLIFPLUSII;Rossweide;1;94431;Pilsting;Deutschland;€;m²;Monat;;30.11.2021;;28.00;
