1 - GARBE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIETERLISTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LISTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stichtag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.04.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
allgemeine Informationen;;;;;;Informationen Mieteinheit;;;;;;Informationen Mietvertrag;;;;;;;;;;;;;;;;;;;;;;;Informationen Miete;;;;;;;;;;;;;;;;;;;;;;;;;
Fonds;"Immobilie
Numer";"Immobilie
Bezeichnung";GARBE Niederlassung;;Mieteinheit;Art;Stockwerk;Anzahl Stellplätze;Fläche;;Lease ID;Mietername;Mietbeginn;vereinbartes Vertragsende;Vertragsende (Kündigung);tatsächliches Vertragsende;Sonderkündigung Frist;Sonderkündigung zum;Kündigung Frist;Kündigung zum;Laufzeit Option;Frist Optionsziehung;MV-Ende nach Optionsziehung;Anzahl weiterer Optionen;maximale Mietlaufzeit;WAULT;WAULB;WAULE;;Jahresnettomiete;Nettomiete;Investitionsmiete;Ende mietfreie Zeit;Betrag mietfreie Zeit;Marktmiete;AM-ERV;Potenzial;Nettomiete;Marktmiete;AM-ERV;;NKVZ;NK-Pauschale;NKVZ;NK-Pauschale;Gesamtnettomiete;Gesamtnettomiete;Mieter UST-pflichtig;;proz. Mieterhöhung;Erhöhungs-Prozentsatz;nächste Erhöhung;Erhöhungszyklen;;Indexmieterhöhung;Wertsicherung Art;Schwellwert;Datum;Weitergabe;Green Lease
;;;;;;;;Stück;m²;;;;;;;;;;;;Monate;;;;;Jahre;Jahre;Jahre;;€/Jahr;€/Mt;€/Mt;;€/Mt;€/Mt;€/Mt;%;€/m²/a;€/m²/a;€/m²/a;;€/Mt;€/Mt;€/m²/a;€/m²/a;€/Mt;€/m²/a;;;;;;;;;;;;%;
GLIFPLUSII;1001;Essen - Bonifaciusstr./Rotth. Str.48;Köln;;10100;Halle;EG;;712;;1001.00001;Linde Material Handling Rhein-Ruhr GmbH & Co. KG;01.11.2019;31.10.2032;;31.10.2032;31.10.2027;31.10.2029;;;60;31.10.2030;31.10.2037;2;31.10.2042;6.53;;;;38'266;3'189;;;;4'398;3'736;37.9%;53.77;74.16;63.00;;1'158;;19.52;;4'346;73.29;1;;false;;;;;true;Datum;;01.01.2027;100%;0
GLIFPLUSII;1001;Essen - Bonifaciusstr./Rotth. Str.48;Köln;;10200;Halle;EG;;5'013;;1001.00001;Linde Material Handling Rhein-Ruhr GmbH & Co. KG;01.11.2019;31.10.2032;;31.10.2032;31.10.2027;31.10.2029;;;60;31.10.2030;31.10.2037;2;31.10.2042;6.53;;;;269'540;22'462;;;;30'979;20'051;37.9%;53.77;74.16;48.00;;1'460;;3.50;;23'922;57.27;1;;false;;;;;true;Datum;;01.01.2027;100%;0
GLIFPLUSII;1001;Essen - Bonifaciusstr./Rotth. Str.48;Köln;;20100;Büro;EG;;1'856;;1001.00001;Linde Material Handling Rhein-Ruhr GmbH & Co. KG;01.11.2019;31.10.2032;;31.10.2032;31.10.2027;31.10.2029;;;60;31.10.2030;31.10.2037;2;31.10.2042;6.53;;;;99'779;8'315;;;;19'355;16'701;132.8%;53.77;125.16;108.00;;3'540;;22.89;;11'855;76.66;1;;false;;;;;true;Datum;;01.01.2027;100%;0
GLIFPLUSII;1001;Essen - Bonifaciusstr./Rotth. Str.48;Köln;;50000;Stellplätze;EG;108;;;1001.00001;Linde Material Handling Rhein-Ruhr GmbH & Co. KG;01.11.2019;31.10.2032;;31.10.2032;31.10.2027;31.10.2029;;;60;31.10.2030;31.10.2037;2;31.10.2042;;;;;;;;;;3'128;108;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
GLIFPLUSII;1001;Essen - Bonifaciusstr./Rotth. Str.48;Köln;;70100;Freifläche ;EG;;9'291;;1001.00001;Linde Material Handling Rhein-Ruhr GmbH & Co. KG;01.11.2019;31.10.2032;;31.10.2032;31.10.2027;31.10.2029;;;60;31.10.2030;31.10.2037;2;31.10.2042;6.53;;;;499'578;41'632;;;;16'166;35'635;-61.2%;53.77;20.88;46.03;;0;;0.00;;41'632;53.77;1;;false;;;;;true;Datum;;01.01.2027;100%;0
1001 - Essen, Essen - Bonifaciusstr./Rotth. Str.48, Bonifaciusstr/Rotthauser Str 1 / 48;;;;;;;;108;16'871;;;;;;;;;;;;;;;;;6.53;;;;907'164;75'597;;;;74'026;76'231;-2.1%;53.77;52.65;54.22;;6'158;;4.38;;81'755;58.15;100.00%;;;;;;;;;;;;
GLIFPLUSII;1002;Regensburg;Frankfurt;;10000;Halle;EG;;10'457;;1002.00001;Kühne + Nagel (AG & Co.) KG;23.12.2020;06.11.2029;;06.11.2029;;;;;60;06.02.2029;06.11.2034;0;06.11.2034;3.54;;;;595'992;49'666;;;;66'193;48'834;33.3%;56.99;75.96;56.04;;10'039;993;11.52;1.14;60'698;69.65;1;;false;;;;;true;Datum;;01.09.2026;75%;0
GLIFPLUSII;1002;Regensburg;Frankfurt;;20000;Büro;EG;;583;;1002.00001;Kühne + Nagel (AG & Co.) KG;23.12.2020;06.11.2029;;06.11.2029;;;;;60;06.02.2029;06.11.2034;0;06.11.2034;3.54;;;;70'944;5'912;;;;6'040;5'551;2.2%;121.69;124.32;114.26;;560;118;11.52;2.43;6'590;135.64;1;;false;;;;;true;Datum;;01.09.2026;75%;0
GLIFPLUSII;1002;Regensburg;Frankfurt;;30000;Empore/Mezzanine;EG;;835;;1002.00001;Kühne + Nagel (AG & Co.) KG;23.12.2020;06.11.2029;;06.11.2029;;;;;60;06.02.2029;06.11.2034;0;06.11.2034;3.54;;;;29'885;2'490;;;;2'639;2'338;5.9%;35.79;37.92;33.61;;802;50;11.52;0.72;3'342;48.03;1;;false;;;;;true;Datum;;01.09.2026;75%;0
